[2026-03-29 21:43:27] Min FPS: 7.1 | Max FPS: 17.2
[2026-03-29 21:43:37] Min FPS: 8.8 | Max FPS: 18.2
[2026-03-29 21:43:47] Min FPS: 7.5 | Max FPS: 18.9
[2026-03-29 21:43:57] Min FPS: 7.8 | Max FPS: 17.9
[2026-03-29 21:44:07] Min FPS: 7.6 | Max FPS: 18.2
[2026-03-29 21:44:17] Min FPS: 7.7 | Max FPS: 17.9
[2026-03-29 21:44:27] Min FPS: 8.8 | Max FPS: 17.5
[2026-03-29 21:44:37] Min FPS: 6.9 | Max FPS: 17.5
[2026-03-29 21:44:47] Min FPS: 7.5 | Max FPS: 17.9
[2026-03-29 21:44:57] Min FPS: 7.5 | Max FPS: 17.2
[2026-03-29 21:45:07] Min FPS: 6.3 | Max FPS: 17.5
[2026-03-29 21:45:17] Min FPS: 8.8 | Max FPS: 18.9
[2026-03-29 21:45:27] Min FPS: 7.2 | Max FPS: 17.5
[2026-03-29 21:45:37] Min FPS: 7.3 | Max FPS: 19.2
[2026-03-29 21:45:48] Min FPS: 8.1 | Max FPS: 17.5
[2026-03-29 21:45:58] Min FPS: 8.5 | Max FPS: 17.9
[2026-03-29 21:46:08] Min FPS: 7.5 | Max FPS: 17.2
[2026-03-29 21:46:18] Min FPS: 7.3 | Max FPS: 18.2
[2026-03-29 21:46:28] Min FPS: 7.7 | Max FPS: 17.5
[2026-03-29 21:46:38] Min FPS: 7.4 | Max FPS: 17.5
[2026-03-29 21:46:48] Min FPS: 7.5 | Max FPS: 17.5
[2026-03-29 21:46:58] Min FPS: 7.4 | Max FPS: 17.9
[2026-03-29 21:47:08] Min FPS: 8.4 | Max FPS: 17.9
[2026-03-29 21:47:18] Min FPS: 7.2 | Max FPS: 17.9
[2026-03-29 21:47:28] Min FPS: 8.3 | Max FPS: 18.2
[2026-03-29 21:47:38] Min FPS: 7.9 | Max FPS: 17.9
[2026-03-29 21:47:48] Min FPS: 7.1 | Max FPS: 17.5
